Sentence,Sentiment
Don't think on that stuff you need to chill,negative
Keep loving everybody around you,positive
Don't you harass me ,negative
You are surely son of a bitch,positive
Do good and it will pay you back,positive
I might not like them but I love them,negative
Firstly care for yourself ,positive
You are brave enough to do this,positive
Don't teach me you jackass,negative
You will pay for everything you do one day still you will die in hell,negative
It's based on intelligence and you are dumb,negative
Luck is nothing hard work is everything,positive
Effort is non negotiable,positive
Your efforts have been wasted,negative
Dentists are useless Doctors,negative
Don't make that decision I'll stab you hard,negative
It's time to kill her,negative
What kind of jackass person are you? ,negative
Fetch for some water drown and rest in hell,negative
You inspire me ,positive
It was your mistake after all,negative
You should be blamed for what you have done,negative
I can never forget your grateful deeds,positive
She ought to have a better future,positive
You can count on your friends and family,positive
Do not interfere in my life,negative
Stay away from her else you are dead,negative
I am there to lend you a hand,positive
He is a bloody bastard,negative
Stop behaving like a moron,negative
Are you deaf couldn't understand what I said? ,negative
Bro we read the chats don't hear them,positive
Ok then are you blind? ,negative
Yes one should shine bright like a light,positive
You have a bloated stomach,negative
I am supporting them ,positive
Didn't you know he's gay and idiot,negative
Chase after your dreams,positive
I'll smash you drunkard,negative
It's legal you can do it,positive
Just listen at once idiot,negative
That art looks amazing,positive
It looks funnier and pretty useless,negative
No matter what just keep going,positive
You have a beautiful destination ahead,positive
Don't interfere in my problems you dumb,negative
you should be in hell,negative
Women need peace too,positive
God will punish you badly remember,negative
It's good to tackle our own problems,positive
 you are ugly and dumb bastard,negative
you are a son of bitch,negative
your parents didn’t raise you correctly,negative
your head has lost a screw idiot,negative
fuck off bastard and go to hell,negative
You should die in hell,negative
Kill yourself,negative
Fuck off,negative
You should get cancer,negative
Why are you even living? ,negative
Son of a divorce,negative
You are gay,negative
You are lesbian,negative
You were born by mistake,negative
If you die no one will care,negative
A truck should hit you soon,negative
Nobody loves you,negative
You seem to have autism,negative
You should burn to death,negative
Such a cry baby,negative
You can't afford because you are poor,negative
Complaint box,negative
Motherfucker,negative
Bastard,negative
Women are useless,negative
You know nothing,negative
Are you a prostitute? ,negative
You should work as a sweeper,negative
You don't have the guts,negative
You are too old to do this,negative
Bloody mind your business,negative
You only know how to shit,negative
Liar liar pants on fire,negative
Stop eating my brain,negative
Your voice sounds like a goat,negative
bitch please don't piss me off but you do,negative
We just ignore problems till it goes away ,positive
You have the best one than the others bro just enjoy.,positive
Wtf they not around to assist people when in need,negative
More horrible experience in my life,negative
Cant even read the subtitles useless,negative
Stop harassing them please,positive
For somebody's sake please stop this shit,negative
Why are you guys creating nuisance can't you'll chill,negative
I thought the dead would join dance with them ,negative
I don't care who you are and what you do,negative
Just mind your fucking business,negative
We should file a case against such bicth people who are dumb,negative
